Geneid,Length,patr1_T1,patr1_T2,patr1_T3,esgTS_T1,esgTS_T2,esgTS_T3
CG31549,1130,110,168,126,111,80,84
CG12171,1014,190,277,252,126,107,102
CG31546,999,0,3,0,6,0,4
CG31548,952,52,87,52,129,119,97
CG12170,1424,55,98,82,81,79,57
MTA1-like,5326,449,709,600,807,926,753
Sec23,2822,443,579,500,751,689,593
elm,1321,112,143,83,199,156,170
MED27,1080,45,42,40,25,36,24
CG2182,2415,198,314,268,435,427,383
asRNA:CR44093,442,1,2,3,4,4,1
Wdr33,2798,64,123,88,133,155,101
asRNA:CR46134,2132,0,1,0,0,0,0
Xe7,3325,221,394,373,526,586,487
Atg17,6303,462,693,647,1004,1075,957
Rab23,2267,1,3,0,2,4,1
plx,7272,82,108,103,139,191,136
CG2104,2396,0,2,0,3,4,0
cas,3151,0,3,1,1,1,0
lncRNA:CR44924,1275,0,0,0,0,0,0
CG1239,1058,28,48,48,39,42,46
CG2100,1597,129,212,163,120,128,138
CG1236,1190,84,144,111,90,131,95
Sym,3986,345,546,383,409,436,368
Madm,3777,268,431,326,412,367,294
CG2091,1335,99,125,111,123,113,99
Sec8,3363,265,345,297,418,394,367
CG2082,3429,10,15,13,48,73,40
jagn,1649,152,181,153,228,240,186
kat-60L1,2739,1,5,2,6,3,1
Hat1,1648,175,236,199,189,171,142
Rpn5,1897,548,803,666,643,654,592
CG1218,1505,93,142,134,133,140,105
CG2046,893,70,123,87,90,82,75
CG10979,4660,209,330,257,466,562,392
CG11000,6816,29,53,28,78,57,28
CG42675,2744,3,4,2,8,3,6
Hpr1,2311,181,274,213,226,259,205
CG46303,464,0,0,0,0,0,0
CG2023,2454,24,68,32,55,62,31
dgrn,1635,113,175,112,111,131,108
glob3,1118,0,1,1,0,2,0
CG1208,2499,0,2,2,2,0,0
asRNA:CR45192,649,1,0,0,0,0,0
CG1213,2356,4,5,3,0,0,2
CG14676,958,0,0,0,1,0,0
CR10991,700,1,2,0,3,1,1
disp,4884,275,383,322,308,315,286
CG34287,951,0,1,2,1,0,0
ECSIT,1330,68,118,99,82,90,53
CG2017,2760,180,286,181,111,117,83
asRNA:CR46133,700,0,0,0,0,0,0
side-III,8500,6,6,1,2,2,2
lncRNA:CR45761,1085,0,0,0,0,0,0
lncRNA:CR45762,1020,0,1,0,0,0,0
CG11373,359,0,0,0,0,0,0
lncRNA:CR44925,606,0,0,0,0,0,0
lncRNA:CR44926,616,0,0,0,0,0,0
lncRNA:TS20,532,0,0,0,0,0,0
Obp83a,986,0,0,0,0,0,0
Obp83b,528,0,0,0,0,0,0
lncRNA:CR44927,1115,0,1,0,1,0,1
lncRNA:CR44928,766,0,0,1,1,1,0
Rm62,5386,1672,2113,1815,3091,3048,2704
CG10280,1089,0,0,0,0,0,0
CG11459,1413,0,0,0,1,0,1
CR1075,855,0,0,0,0,0,0
lncRNA:CR46221,531,0,0,0,0,0,1
lncRNA:CR44921,501,0,0,0,0,0,0
CG15580,2371,0,2,0,0,0,0
Or83c,1194,1,0,0,0,0,0
Gasp,2355,1,1,1,0,1,0
lncRNA:CR44929,1024,0,0,1,0,0,0
Obp83cd,899,0,0,0,0,0,0
Obp83ef,901,0,2,0,0,0,0
Obp83g,569,0,0,0,0,0,0
Vha14-2,1677,0,0,0,0,0,1
lncRNA:CR43486,677,0,0,0,0,0,0
lncRNA:CR43487,727,0,0,0,0,0,0
CG31559,2003,0,3,0,0,0,0
CG1077,2302,1,1,0,1,0,0
Osi1,1161,0,0,0,0,0,0
CR31562,1175,0,0,0,0,0,0
NPFR,3214,13,38,24,33,30,44
Osi24,2629,4,8,6,9,10,5
Osi2,1740,0,0,0,0,0,0
Osi3,1381,0,0,0,0,0,0
Osi4,1522,0,0,0,0,0,0
Osi5,892,0,0,0,0,0,0
Osi6,1846,0,1,0,0,0,0
Osi7,2690,1,0,0,0,0,0
Osi8,1135,0,0,0,0,0,0
Osi9,1360,0,0,0,0,0,0
Osi10,1731,0,0,0,0,0,0
Osi11,1167,0,0,0,0,0,0
Osi12,1755,0,0,0,0,0,0
CG15597,679,0,0,0,0,0,0
CG15594,1454,0,0,0,0,0,0
Osi13,1518,0,0,0,0,0,0
Osi14,1091,1,0,0,0,0,0
Osi15,1232,0,0,0,0,0,0
CG46396,468,0,0,0,0,0,0
Osi16,1061,0,0,0,0,0,0
CG46026,2091,0,0,0,0,0,0
CG31560,968,0,0,0,0,0,0
Osi17,4068,1,0,0,0,0,0
Osi18,1270,0,0,0,0,0,0
Osi19,1138,0,0,0,0,0,0
Osi20,1264,0,2,0,1,0,0
CG17917,706,1,1,3,4,7,6
CG10298,745,5,10,4,18,13,6
CG17919,778,3,4,0,7,6,6
SmD2,778,231,336,272,254,274,254
CG18048,1409,24,34,32,56,52,39
Hr83,837,1,1,0,1,0,0
Pak,5973,1029,1354,1134,1314,1287,1301
CG42724,6156,410,636,593,854,958,775
CG10286,2151,152,243,194,295,298,232
CRAT,2657,95,150,125,151,159,133
CG42564,1587,5,2,7,5,6,2
snoRNA:83E4-5,140,0,0,0,0,0,0
CG1024,2701,80,150,120,129,146,115
CG42537,376,0,1,2,0,1,0
TfIIFalpha,1938,270,409,406,315,362,284
gzl,3766,352,506,370,705,678,545
Dmtn,3827,123,148,102,104,168,142
gpp,11749,532,875,833,973,1170,1000
lncRNA:CR44017,601,18,25,23,50,44,49
CG9727,6313,414,632,529,739,777,671
mir-9375,59,0,0,0,0,0,0
Zif,1515,100,176,123,148,146,137
Neurochondrin,2580,0,4,2,0,0,0
CG15186,6322,457,816,596,265,248,268
tRNA:Met-CAT-1-5,73,2,2,7,1,0,4
CG15185,1167,1,1,1,0,0,0
dpr11,4651,6,8,8,0,0,0
Pif2,887,0,0,0,0,0,0
lncRNA:CR46132,683,0,0,0,0,0,0
CG1137,1363,1,1,1,0,0,0
CG2336,1358,0,1,0,0,0,0
lncRNA:CR46131,675,0,0,0,0,0,0
CG1138,1398,0,0,0,0,0,0
CG31482,792,0,0,0,0,0,0
glob2,2524,0,0,0,0,0,0
sowi,830,0,0,0,0,0,0
CG15177,1013,0,0,0,0,0,0
sunz,921,0,0,0,0,0,0
CG31286,1834,0,0,0,0,0,0
Ass,1456,0,0,0,0,1,1
Taf1,6876,659,954,810,823,883,784
CG1307,1159,135,227,161,182,198,162
twr,855,57,116,99,97,95,90
agt,1295,24,39,37,38,38,48
lab,3046,102,238,169,138,244,193
Edg84A,652,0,0,1,0,0,0
Ccp84Ag,1097,0,0,0,0,0,0
Ccp84Af,580,0,0,0,0,0,0
Ccp84Ae,754,0,0,0,0,0,0
Ccp84Ad,735,0,0,0,0,0,0
Ccp84Ac,1060,0,0,0,0,0,0
lncRNA:CR33938,505,0,0,0,0,0,0
Ccp84Ab,834,0,0,0,0,0,0
Ccp84Aa,765,0,0,0,0,0,0
pb,3728,0,0,0,0,0,0
zen2,1002,0,0,0,0,0,0
CG34297,770,0,0,0,0,0,0
zen,1267,0,0,0,0,0,0
bcd,2536,1,0,0,0,0,0
lncRNA:CR45593,1406,0,0,0,0,0,0
Ama,1946,12,36,11,16,15,11
lncRNA:CR44930,1225,1,0,0,0,0,0
lncRNA:CR42721,2266,0,0,0,0,0,0
mir-993,119,0,0,0,0,0,0
lncRNA:CR43435,836,0,0,0,0,0,0
Dfd,2739,2,1,0,0,0,0
lncRNA:CR42651,2076,86,75,74,88,136,164
mir-10,77,0,0,0,0,0,0
lncRNA:CR45915,428,17,16,7,14,9,7
tRNA:Lys-CTT-2-1Psi,73,7,5,2,2,0,1
tRNA:Lys-TTT-2-1,73,0,1,0,0,0,0
7SLRNA:CR42652,299,33,15,3,38,13,23
tRNA:Lys-TTT-2-2,73,0,0,0,0,0,0
tRNA:Lys-TTT-2-3,73,0,0,0,0,0,0
7SLRNA:CR32864,299,42,28,9,39,31,40
tRNA:Lys-TTT-2-4,73,0,1,0,0,0,0
Scr,4577,0,0,0,0,0,0
lncRNA:CR45901,885,0,0,0,0,0,0
lncRNA:CR45902,625,0,0,0,0,0,0
lncRNA:CR45903,311,0,0,0,0,0,0
lncRNA:CR45904,490,0,0,0,0,0,0
lncRNA:CR45905,943,1,0,0,0,0,0
lncRNA:CR45900,354,0,0,0,0,0,0
ftz,1774,3,10,3,0,0,0
lncRNA:CR44931,505,0,0,0,0,0,0
lncRNA:CR45559,545,0,0,0,0,0,0
lncRNA:CR44932,884,0,0,0,0,0,0
Antp,7508,1,1,0,1,1,0
lncRNA:CR43252,1083,0,0,0,0,0,0
lncRNA:CR45899,932,0,0,0,0,0,0
lncRNA:CR44933,1237,0,0,0,0,0,1
Sodh-1,1387,0,2,1,2,2,1
CG1979,3425,2,0,0,4,3,2
dj,1210,1,0,1,2,1,1
djl,1098,0,0,2,3,3,2
CG1988,2196,0,2,4,10,4,4
CG1105,1796,55,81,47,110,105,113
CG1965,3228,194,271,244,291,286,249
Ufl1,2574,169,240,202,217,256,221
asRNA:CR45908,712,2,10,3,25,9,32
CG1943,1349,329,466,306,415,437,361
Ref1,1328,244,285,188,351,343,240
Dpck,914,22,53,40,43,47,29
Tailor,2003,155,220,197,317,362,286
asRNA:CR45907,481,5,4,4,13,18,15
alphaTub84B,1752,2001,2116,1763,2050,1902,1843
lncRNA:CR43685,1241,53,76,49,73,107,87
e(y)2b,662,7,7,2,2,2,1
Alh,9675,855,1190,1015,1236,1240,1077
lncRNA:CR45906,253,2,2,1,1,7,0
Mlp84B,3136,41,37,46,54,78,38
CG10098,1532,32,41,27,81,89,119
CG10068,1657,63,126,60,86,87,73
CR42875,859,9,13,10,39,35,23
CG31248,977,21,23,19,164,183,180
tRNA:Gly-TCC-1-1,72,0,1,0,1,0,1
tRNA:Gly-TCC-1-2,72,0,0,0,0,0,0
CG31493,1019,3,0,0,1,1,0
Fer1,1452,4,3,0,1,1,1
asRNA:CR42738,693,0,0,0,0,0,0
CG14610,513,0,0,0,0,0,0
CG2656,1016,71,98,72,70,101,80
gfzf,3958,253,443,294,456,445,365
Sas-4,2802,65,81,87,155,202,144
MAGE,943,46,86,57,66,54,53
asRNA:CR45909,892,0,0,0,0,0,0
sas,6236,0,0,1,4,1,0
CG10055,2422,226,383,277,277,297,237
lap,6158,601,841,591,804,945,812
CG14609,2081,10,7,7,14,9,11
CG1288,1725,2,1,3,1,0,1
CG14606,1925,2,2,4,0,0,2
CG14605,1532,3,5,3,0,0,0
thw,4222,13,12,13,0,0,1
CG14607,1472,0,1,0,1,1,0
CG1234,2572,262,438,344,395,443,361
CG10053,982,26,64,40,41,45,34
CG1227,1415,105,146,89,97,113,85
CG10050,1894,24,40,36,47,48,36
Obp84a,817,3,0,1,4,2,3
Gld,2899,44,74,51,12,5,12
lncRNA:CR44338,853,5,10,8,0,1,0
Syt4,3103,102,185,126,5,3,1
CR10032,813,0,0,0,1,0,0
rn,6273,0,3,1,1,0,0
lncRNA:CR44333,366,0,0,1,0,0,0
RacGAP84C,1495,0,0,0,0,0,0
CG42544,363,0,0,0,1,0,0
lncRNA:CR44334,521,1,0,0,0,0,0
lncRNA:CR46130,263,0,0,0,0,0,0
CG10029,1380,0,0,0,1,0,0
lncRNA:CR46299,654,0,0,0,0,0,0
lncRNA:CR46224,245,0,0,0,0,0,0
CG44335,863,0,0,0,0,0,0
lncRNA:TS14,701,0,0,0,0,0,0
lncRNA:CR44337,503,0,0,0,0,0,0
CG31496,1030,0,0,0,0,0,0
nxf4,1107,0,0,0,0,0,0
CG43290,584,0,0,0,0,0,0
CG17944,756,0,0,0,0,0,0
Mst84Dd,415,0,0,0,0,0,1
Mst84Dc,363,0,0,0,0,0,0
Mst84Db,415,0,0,0,0,0,0
Mst84Da,358,0,0,0,0,0,0
MstProx,3262,0,0,0,0,0,0
lncRNA:CR45560,876,0,0,0,0,0,0
CG42650,765,0,0,0,0,0,0
Ir84a,1935,0,0,1,0,0,0
CR46300,1560,0,0,0,0,0,0
wa-cup,1878,0,0,0,0,0,0
CG14598,1230,0,0,0,3,6,1
tRNA:Val-CAC-2-1,73,0,0,0,0,0,0
mir-4950,92,1,0,0,0,0,0
tRNA:Val-CAC-2-2,73,0,0,0,0,0,0
lncRNA:CR44934,723,0,0,0,0,0,0
tRNA:Val-CAC-2-3,73,0,0,0,0,0,0
CG1142,911,94,157,105,150,172,147
scaRNA:MeU5-C46,316,173,166,95,209,193,219
snRNA:7SK,444,437,388,228,508,441,484
tRNA:Val-CAC-2-4,73,0,0,0,0,0,0
alpha-Est10,2341,87,118,77,82,71,71
CG42656,255,6,12,3,0,4,1
alpha-Est9,3455,1807,2084,1539,1097,1069,1345
Mics1,1426,151,106,110,172,175,324
alpha-Est8,2646,1,5,2,2,3,1
Ubc84D,637,0,0,0,1,0,0
alpha-Est7,2017,2,4,2,4,6,1
alpha-Est6,1836,0,0,0,0,0,0
alpha-Est4aPsi,1345,0,0,0,3,0,1
Rtnl2,1026,3,0,1,0,0,0
alphaTub84D,1980,302,463,415,440,478,346
alpha-Est5,2490,31,33,18,190,168,179
alpha-Est4,1749,0,0,0,2,0,0
asRNA:CR46128,3438,0,1,0,1,2,2
alpha-Est3,1932,1,2,0,1,0,0
alpha-Est2,2141,2,2,1,2,1,0
asRNA:CR46129,408,0,0,0,0,0,1
alpha-Est1,2123,4,8,3,59,36,47
CG45545,291,0,0,0,0,0,0
Nlg3,6650,0,1,3,0,0,0
lncRNA:CR44332,409,0,0,0,0,0,0
Nlg1,6006,0,0,0,0,0,0
lncRNA:CR44260,713,0,1,0,0,0,0
CG2616,1820,0,0,0,0,0,0
CG43254,491,0,1,0,0,0,0
lncRNA:CR44935,601,0,1,0,0,0,0
pyd3,1361,5,5,7,166,192,180
CG10919,775,1,5,2,0,0,0
Sp7,2372,25,20,12,12,10,9
CG11286,838,1,0,0,0,0,0
lncRNA:CR46225,555,0,0,0,0,0,0
lncRNA:CR46226,274,0,0,0,0,0,0
CG18747,1408,62,92,75,105,105,111
CG18745,1567,344,450,359,444,441,527
CG18748,1509,171,198,149,114,93,121
CG18746,1487,32,70,31,34,41,36
CG10086,1864,36,52,35,15,16,11
CG2641,1510,76,107,73,168,156,147
CG18744,1336,3,2,2,5,5,5
CG3014,2573,0,1,0,0,2,1
CG18268,1432,0,0,0,0,0,1
CG2993,3935,1,2,0,0,2,2
sgll,1314,141,180,107,192,195,178
CG31473,981,3,3,0,4,8,5
CG34384,9058,6,4,2,14,14,12
CG17816,7157,66,90,62,132,155,103
lncRNA:CR46127,749,0,1,3,3,4,2
ArgRS-m,2748,126,171,123,128,157,118
mRpS9,1293,211,266,238,234,211,181
wtrw,4367,31,48,39,74,94,61
EMC1,3292,490,679,503,706,677,571
Taf7,2261,95,159,91,121,118,98
Prat,2105,166,288,202,238,256,189
CG2846,1210,92,167,94,150,144,115
CG2678,2003,9,26,18,79,68,61
CG10445,3399,182,324,216,160,160,119
lds,3543,263,387,291,349,456,333
scaRNA:MeU2-C41,122,13,17,6,19,17,16
dsx,9053,145,245,150,327,393,325
CD98hc,2371,389,542,357,540,557,510
Os-C,604,2,1,1,0,0,0
Sfp84E,685,0,0,0,0,0,0
ELOVL,1974,15,24,7,47,46,34
lncRNA:CR46143,1451,1,0,1,1,0,0
lncRNA:CR46142,747,0,0,0,0,0,0
PIG-H,1091,8,9,11,29,14,16
Kmn2,580,10,20,17,7,15,10
CG2698,3663,228,316,304,566,576,557
CG2767,1309,64,103,91,254,248,260
CG11052,830,1,0,0,0,0,0
CG3223,1488,76,145,112,103,118,95
CG10435,1822,116,204,164,175,191,153
Pbp95,2649,108,179,164,115,101,89
CG2747,7468,467,713,579,800,815,641
ImpE3,1094,8,10,12,24,29,18
CG10903,1263,16,33,33,29,48,26
CG11035,1880,37,49,27,42,30,29
unc-45,3987,111,151,125,183,181,190
lncRNA:CR44936,1377,0,0,0,0,0,2
CG43060,1196,1,1,1,0,0,0
CG43618,225,0,0,0,0,0,0
CG43061,329,1,0,0,0,0,0
mAChR-B,4823,1,1,0,0,0,0
snoRNA:Me18S-G423,96,0,0,0,0,0,0
CG7910,1976,0,2,2,1,1,2
lncRNA:CR44330,417,1,2,1,0,0,0
CG7900,1879,104,111,144,86,101,74
puc,3171,1177,1534,1410,1165,1177,1257
lncRNA:CR44331,1245,128,134,137,237,200,264
CG7878,2375,294,448,396,504,506,478
CG9667,883,95,141,89,87,80,70
Arl8,1901,102,167,129,212,231,244
tRNA:Asn-GTT-1-10,74,1,0,0,0,0,0
tRNA:Arg-ACG-1-6,73,0,0,0,0,0,0
tRNA:Arg-ACG-1-7,73,0,0,0,0,0,0
tRNA:Arg-ACG-1-8,73,0,0,0,0,0,0
tRNA:Arg-ACG-1-9,73,1,0,0,0,0,0
tRNA:Arg-ACG-1-10,73,1,1,0,0,0,0
grn,4090,7,7,4,0,0,1
lncRNA:CR43302,392,0,0,1,0,0,0
lncRNA:CR43303,452,0,0,0,0,0,0
CheA84a,582,0,1,0,1,0,0
CG7800,1778,59,116,66,153,197,175
CG18249,2043,0,1,0,0,0,1
lncRNA:CR45551,6900,1,2,0,0,0,0
lncRNA:CR45550,1249,0,0,0,0,0,0
